chembl_id,generic_name,max_phase,mol_type,n_synonyms,brand_names,research_codes
CHEMBL3542265,ly2452473,2.0,Small molecule,5,,ly-2452473|ly2452473|opk-88004|tt-701
CHEMBL3544907,picoplatin,3.0,Small molecule,14,picoplatin|picoplatin|picoplatin,amd-473|amd473|nx 473|nx-473|nx473
CHEMBL3544908,azatadine maleate,4.0,Small molecule,13,azatadine maleate|azatadine maleate component of trinalin|lergocil|optimine,nsc-759874|sch 10649|sch-10649
CHEMBL3544910,motexafin gadolinium,3.0,Small molecule,14,motexafin gadolinium|xcytrin,api-gp3|fp-gp1|gadolinium texaphyrin|gd-tex|gd texaphyrin
CHEMBL3544911,prexasertib,2.0,Small molecule,6,prexasertib|prexasertib,ly-2606368|ly2606368
CHEMBL3544916,guadecitabine,3.0,Small molecule,6,guadecitabine|guadecitabine,sgi-110
CHEMBL3544954,zoptarelin doxorubicin,3.0,Protein,7,zoptarelin doxorubicin|zoptarelin doxorubicin,an-152
CHEMBL3544974,asenapine maleate,4.0,Small molecule,12,asenapine maleate|saphris|sycrest,org 5222|org-5222
CHEMBL3544983,tesevatinib,3.0,Small molecule,9,tesevatinib|tesevatinib,exel-7647|kd-019|kd019|kd-020|xl647
CHEMBL3544993,aglatimagene besadenovec,3.0,Gene,12,aglatimagene besadenovec|aglatimagene besadenovec|canatak|gliatak|oncatak,adv-tk
CHEMBL3544995,stapuldencel,3.0,Cell,7,stapuldencel|stapuldencel|stapuldencel-t,dcvac/pca
CHEMBL3545017,gtx-758,2.0,Small molecule,3,capesaris,
CHEMBL3545069,pelareorep,3.0,Unknown,9,pelareorep|reolysin,po bb0209|po-bb-0209|po-bb0209
CHEMBL3545071,seribantumab,2.0,Antibody,7,seribantumab|seribantumab,mm-121|mm121|sar-256212|sar256212
CHEMBL3545072,landogrozumab,2.0,Antibody,6,landogrozumab|landogrozumab,ly-2495655|ly2495655
CHEMBL3545097,sapanisertib,2.0,Small molecule,11,sapanisertib|sapanisertib,cb-228|ink-128|ink128|mln-0128|mln0128
CHEMBL3545110,ribociclib,4.0,Small molecule,11,ribociclib|ribociclib,lee-011|lee011|lee-011a|lee011a|nvp-lee011
CHEMBL3545111,hemay-022,3.0,Unknown,1,,
CHEMBL3545131,isatuximab,4.0,Antibody,10,isatuximab|isatuximab|sarclisa,sar-650984|sar650984
CHEMBL3545132,mirvetuximab soravtansine,4.0,Antibody drug conjugate,13,elahere|mirvetuximab soravtansine|mirvetuximab soravtansine,imgn-853|imgn853
CHEMBL3545154,poziotinib,3.0,Small molecule,11,poziotinib|poziotinib,hm 781-36|hm-781-36|hm 781-36b|hm-781-36b|hm781-36b
